manufacturer,market_presence_scope,control_class,documented_paths,external_control_possible,dvhub_fit,notes,source_1,source_2,source_3
Victron,"DE/EU ESS and hybrid","A","GX Modbus TCP; MQTT; D-Bus; ESS mode 2/3","yes-direct","high","Best fit for direct DVhub mapping incl. setpoints and charge/export flags","https://www.victronenergy.com/live/ess:ess_mode_2_and_3","https://www.victronenergy.com/live/ccgx:modbustcp_faq",""
SMA,"DE core market","A","Modbus TCP/Speedwire; SunSpec; active power setpoint","yes-direct","high","Official register-level path for active power control","https://files.sma.de/downloads/SMA-Modbus-TI-de-10.pdf","https://manuals.sma.de/SI-13/en-US/1129302539.html",""
Fronius,"DE/EU strong residential and C&I","A-","Modbus TCP; SunSpec; Smart Meter; plant controller","yes","high","Good fit; feed-in limitation often meter/controller-based","https://www.fronius.com/~/downloads/Solar%20Energy/Operating%20Instructions/42,0410,2649.pdf","https://www.fronius.com/~/downloads/Solar%20Energy/Application%20Guides/SE_APG_Feed_In_Limitation_Fronius_Inverters_EN.pdf",""
KOSTAL,"DE strong residential/commercial","A-","Modbus TCP; SunSpec; Smart Energy Meter; Digital I/O; CLS","yes","high","Strong German relevance; mixed direct and controller/I-O control","https://www.kostal-solar-electric.com/download/schnittstellenprotokolle/ba_kostal-interface-description-modbus-tcp_sunspec_piko-ci.pdf","https://www.kostal-solar-electric.com/fileadmin/downloadcenter/kse/BA/PLENTICORE_G1/PLENTICORE-plus_BA_DE.pdf","https://www.kostal-solar-electric.com/de/installateurportal/seminare/seminar-detailansicht/mehr-praxis-fuer-experten-nur-fuer-teilnehmer-des-kostal-partner-programms/"
Huawei,"DE/EU strong","B+","RS485/Modbus via SmartLogger; plant active power control","yes-via-gateway","medium-high","Prefer SmartLogger/EMS adapter over direct inverter adapter","https://support.huawei.com/enterprise/en/doc/EDOC1100111895/17414aa8/smartlogger-modbus-interface-definitions","https://support.huawei.com/enterprise/en/doc/EDOC1100108365/c6ac6655/plant-active-power-control","https://support.huawei.com/enterprise/en/solar-energy/sun2000-pid-251128373"
Sungrow,"EU strong hybrid and C&I","B+","EMS or Control Box via Modbus TCP/IP; COM100/plant controller","yes-via-controller","medium-high","Need series matrix for SH vs SG and COM100 path","https://en.sungrowpower.com/upload/file/20201216/SH5K-20-UEN-Ver19-202007.pdf.pdf","https://en.sungrowpower.com/productDetail/994","https://en.sungrowpower.com/upload/documentFile/COM100%20User%20Manual.pdf.pdf"
GoodWe,"EU strong","B","Power Limit Solution; SEC1000/3000; EMS path","yes-via-gateway","medium","Likely viable through SEC/product-family-specific EMS path","https://us.goodwe.com/Ftp/EN/Downloads/User%20Manual/GW_Power%20Limit%20Solution%20for%20Grid-Tied%20PV%20Inverters-EN.pdf","https://www.goodwe.com/Ftp/EN/Downloads/User%20Manual/GW_SEC1000-3000_User%20Manual-EN.pdf",""
Solis,"EU broad distribution","B","Export Power Manager; meter/CT; RS485/Modbus","yes-via-epm","medium","Prefer EPM adapter rather than direct inverter write path","https://www.solisinverters.com/uk/documentation/Export_Power_Manager_5G.html","https://www.solisinverters.com/uploads/file/Solis_EPM5G_Data_Sheet_UK.pdf","https://www.ginlong.com/uploads/file/Solis_EPM3-5G-PLUS_User_Manual.pdf"
SolaX,"EU hybrid market","B","DataHub1000; RS485; Ethernet; Modbus read/write","yes-via-datahub","medium","DataHub is the natural integration point","https://www.solaxpower.com/wp-content/uploads/2024/01/DataHub1000-User-Manual.pdf","https://www.solaxpower.com/products/datahub1000/",""
Solplanet,"EU distribution strong","B","Third-party communication device; RS485/Modbus; active power control","yes-via-controller","medium","Need exact command path per ASW series","https://www.solplanet.net/wp-content/uploads/2024/04/UM0005_ASW-3-20K-LT-G2-Pro_UM_EN.pdf","https://www.solplanet.net/products/asw-3-20k-lt-g2-pro-series/",""
